Player,Tm,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Date
251,14,18,1,26.616666666666667,7.0,14.0,0.5,0.0,4.0,0.0,4.0,4.0,1.0,2.0,6.0,8.0,1.0,0.0,6.0,5.0,6.0,18.0,5.0,11.7,1
280,12,28,0,27.85,6.0,12.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,3.0,4.0,7.0,1.0,1.0,2.0,2.0,1.0,14.0,0.0,11.6,1
230,27,0,1,22.366666666666667,7.0,8.0,0.875,0.0,0.0,0.3319796870232335,0.0,1.0,0.0,3.0,3.0,6.0,2.0,0.0,1.0,2.0,6.0,14.0,-3.0,11.5,1
106,4,2,1,17.183333333333334,4.0,9.0,0.444,1.0,2.0,0.5,6.0,7.0,0.857,0.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,15.0,5.0,11.5,1
269,18,14,0,18.316666666666666,7.0,10.0,0.7,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,17.0,-10.0,11.4,1
574,0,27,0,20.6,7.0,13.0,0.538,2.0,6.0,0.333,0.0,0.0,0.767805115408609,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,16.0,-14.0,11.4,1
543,21,15,1,18.25,5.0,8.0,0.625,3.0,5.0,0.6,3.0,4.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,11.0,11.3,1
533,29,16,0,26.233333333333334,5.0,11.0,0.455,4.0,8.0,0.5,2.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,4.0,1.0,16.0,-8.0,11.3,1
148,26,6,1,30.933333333333334,6.0,14.0,0.429,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,13.0,25.0,11.3,1
149,23,25,1,33.9,9.0,24.0,0.375,1.0,8.0,0.125,3.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,5.0,22.0,2.0,11.2,1
28,1,22,0,32.28333333333333,5.0,10.0,0.5,2.0,6.0,0.333,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,13.0,-5.0,11.2,1
139,24,17,0,32.983333333333334,6.0,16.0,0.375,0.0,6.0,0.0,8.0,10.0,0.8,0.0,7.0,7.0,1.0,0.0,1.0,2.0,2.0,20.0,-2.0,11.1,1
490,18,14,0,29.583333333333332,5.0,12.0,0.417,1.0,5.0,0.2,2.0,4.0,0.5,3.0,3.0,6.0,3.0,1.0,0.0,0.0,2.0,13.0,-13.0,11.1,1
334,3,8,1,27.233333333333334,4.0,11.0,0.364,2.0,6.0,0.333,5.0,6.0,0.833,1.0,4.0,5.0,0.0,1.0,2.0,1.0,2.0,15.0,9.0,11.0,1
517,16,29,1,21.95,4.0,5.0,0.8,3.0,4.0,0.75,0.0,0.0,0.767805115408609,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,11.0,12.0,11.0,1
512,28,12,1,24.433333333333334,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,0.767805115408609,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,9.0,20.0,10.8,1
462,1,22,0,37.15,6.0,14.0,0.429,1.0,7.0,0.143,3.0,4.0,0.75,2.0,3.0,5.0,2.0,2.0,0.0,2.0,3.0,16.0,6.0,10.7,1
78,29,16,0,19.45,6.0,12.0,0.5,1.0,5.0,0.2,1.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,14.0,-1.0,10.6,1
482,23,25,1,29.05,4.0,8.0,0.5,3.0,7.0,0.429,1.0,2.0,0.5,2.0,3.0,5.0,2.0,1.0,0.0,1.0,2.0,12.0,3.0,10.5,1
404,19,5,1,25.866666666666667,4.0,7.0,0.571,4.0,6.0,0.667,3.0,4.0,0.75,1.0,1.0,2.0,1.0,1.0,0.0,2.0,4.0,15.0,17.0,10.4,1
